Year,Week,ds,y,Recievables
2022,1,1/3/2022,1347046.53,216637.49
2022,2,1/10/2022,1348547.51,220001.93
2022,3,1/17/2022,1362682.96,186053.69
2022,4,1/24/2022,1297296.15,291930.41
2022,5,1/31/2022,1328902.74,298268.57
2022,6,2/7/2022,1323508.00,398634.08
2022,7,2/14/2022,1303868.81,580196.23
2022,8,2/21/2022,1305221.38,580196.23
2022,9,2/28/2022,1299636.89,586159.15
2022,10,3/7/2022,1286504.39,674885.53
2022,11,3/14/2022,1311554.52,572341.82
2022,12,3/21/2022,1468436.95,456806.39
2022,13,3/28/2022,1462666.44,354358.83
2022,14,4/4/2022,1430839.10,408124.82
2022,15,4/11/2022,1405144.19,434353.17
2022,16,4/18/2022,1355927.76,354264.8
2022,17,4/25/2022,1460328.96,404625.08
2022,18,5/2/2022,1517710.38,197243.99
2022,19,5/9/2022,1517876.59,451761.98
2022,20,5/16/2022,1392393.04,451761.98
2022,21,5/23/2022,1367283.46,451761.98
2022,22,5/30/2022,1547313.41,396393.27
2022,23,6/6/2022,1487014.83,396393.27
2022,24,6/13/2022,1431530.95,216529.38
2022,25,6/20/2022,1346230.42,327493.81
2022,26,6/27/2022,1307593.21,327493.81
2022,27,7/4/2022,1237273.42,308396.11
2022,28,7/11/2022,1304364.28,254704.59
2022,29,7/18/2022,1261909.63,228934.24
2022,30,7/25/2022,1236691.88,215610.15
2022,31,8/1/2022,1014785.56,288174.84
2022,32,8/8/2022,1133650.37,321982.83
2022,33,8/15/2022,1161283.97,347062.66
2022,34,8/22/2022,1128302.52,421901.72
2022,35,8/29/2022,1123132.28,415927.57
2022,36,9/5/2022,1124330.80,387074.81
2022,37,9/12/2022,1160669.15,330464.26
2022,38,9/19/2022,1190238.49,300016.6
2022,39,9/26/2022,1214039.45,348915.85
2022,40,10/3/2022,1241409.75,285427.63
2022,41,10/10/2022,1255707.57,279353.31
2022,42,10/17/2022,1238016.13,288574.48
2022,43,10/24/2022,1167949.74,298545.01
2022,44,10/31/2022,1179447.65,316981.18
2022,45,11/7/2022,1206666.30,222145.96
2022,46,11/14/2022,1342166.25,222773.09
2022,47,11/21/2022,1349235.80,206623.94
2022,48,11/28/2022,1364913.41,164934.77
2022,49,12/5/2022,1408474.30,324207.63
2022,50,12/12/2022,1404733.85,347212.3
2022,51,12/23/2022,1389907.43,384005.37
2022,52,12/30/2022,1338004.43,545430.74
2022,53,1/6/2023,1454978.00,466460.02
