Year,Week,ds,y,Cash
2022,1,1/3/2022,216637.49,1347046.53
2022,2,1/10/2022,220001.93,1348547.51
2022,3,1/17/2022,186053.69,1362682.96
2022,4,1/24/2022,291930.41,1297296.15
2022,5,1/31/2022,298268.57,1328902.74
2022,6,2/7/2022,398634.08,1323508.00
2022,7,2/14/2022,580196.23,1303868.81
2022,8,2/21/2022,580196.23,1305221.38
2022,9,2/28/2022,586159.15,1299636.89
2022,10,3/7/2022,674885.53,1286504.39
2022,11,3/14/2022,572341.82,1311554.52
2022,12,3/21/2022,456806.39,1468436.95
2022,13,3/28/2022,354358.83,1462666.44
2022,14,4/4/2022,408124.82,1430839.10
2022,15,4/11/2022,434353.17,1405144.19
2022,16,4/18/2022,354264.8,1355927.76
2022,17,4/25/2022,404625.08,1460328.96
2022,18,5/2/2022,197243.99,1517710.38
2022,19,5/9/2022,451761.98,1517876.59
2022,20,5/16/2022,451761.98,1392393.04
2022,21,5/23/2022,451761.98,1367283.46
2022,22,5/30/2022,396393.27,1547313.41
2022,23,6/6/2022,396393.27,1487014.83
2022,24,6/13/2022,216529.38,1431530.95
2022,25,6/20/2022,327493.81,1346230.42
2022,26,6/27/2022,327493.81,1307593.21
2022,27,7/4/2022,308396.11,1237273.42
2022,28,7/11/2022,254704.59,1304364.28
2022,29,7/18/2022,228934.24,1261909.63
2022,30,7/25/2022,215610.15,1236691.88
2022,31,8/1/2022,288174.84,1014785.56
2022,32,8/8/2022,321982.83,1133650.37
2022,33,8/15/2022,347062.66,1161283.97
2022,34,8/22/2022,421901.72,1128302.52
2022,35,8/29/2022,415927.57,1123132.28
2022,36,9/5/2022,387074.81,1124330.80
2022,37,9/12/2022,330464.26,1160669.15
2022,38,9/19/2022,300016.6,1190238.49
2022,39,9/26/2022,348915.85,1214039.45
2022,40,10/3/2022,285427.63,1241409.75
2022,41,10/10/2022,279353.31,1255707.57
2022,42,10/17/2022,288574.48,1238016.13
2022,43,10/24/2022,298545.01,1167949.74
2022,44,10/31/2022,316981.18,1179447.65
2022,45,11/7/2022,222145.96,1206666.30
2022,46,11/14/2022,222773.09,1342166.25
2022,47,11/21/2022,206623.94,1349235.80
2022,48,11/28/2022,164934.77,1364913.41
2022,49,12/5/2022,324207.63,1408474.30
2022,50,12/12/2022,347212.3,1404733.85
2022,51,12/23/2022,384005.37,1389907.43
2022,52,12/30/2022,545430.74,1338004.43
2022,53,1/6/2023,466460.02,1454978.00
